[2013-11-25 08:32:46,927][ERROR] [sistema] [/sad/user/edit/2.27de249c5f4a23edeff6724a2a9076d5/][admin][127.0.0.1] Usuario no se encuentra en la base de datos.  
[2013-11-25 08:33:41,779][ERROR] [sistema] [/sad/user/edit/2.27de249c5f4a23edeff6724a2a9076d5/][admin][127.0.0.1] La persona con D.N.I.: ya existe  
[2013-11-25 08:33:49,719][INFO] [sistema] [/sad/user/edit/2.27de249c5f4a23edeff6724a2a9076d5/][admin][127.0.0.1] Usuario asullom ha sido actualizado correctamente. 
[2013-11-25 08:33:58,181][INFO] [sistema] [/sad/user/edit/3.1f39add0462594b6a2bcc7fcc406ff42/][admin][127.0.0.1] Usuario abel ha sido actualizado correctamente. 
[2013-11-25 08:34:03,377][INFO] [sistema] [/sad/user/edit/4.721869f0cf87f75a2f6de987915d7e4c/][admin][127.0.0.1] Usuario jarib ha sido actualizado correctamente. 
[2013-11-25 08:34:08,247][INFO] [sistema] [/sad/user/edit/5.a5e1ce8e9855b963c1a92f61cfea3e23/][admin][127.0.0.1] Usuario sullon ha sido actualizado correctamente. 
[2013-11-25 08:39:21,868][INFO] [sistema] [/sad/user/add/][admin][127.0.0.1] Usuario weq2q ha sido registrado correctamente. 
[2013-11-25 08:41:27,447][INFO] [sistema] [/sad/user/delete/6.9cf73c25fbbec1df8ff895583c6d4bfe/][admin][127.0.0.1] Usuario weq2q ha sido eliminado correctamente. 
[2013-11-25 08:44:52,500][INFO] [sistema] [/sad/user/state/inactivar/5.d5fcc34649a802242e4869ca03e4d83b/][admin][127.0.0.1] Usuario sullon ha sido inactivado correctamente. 
[2013-11-25 08:44:53,940][INFO] [sistema] [/sad/user/state/reactivar/5.dcf021c57c483a4d8e4079a9b8af180b/][admin][127.0.0.1] Usuario sullon ha sido reactivado correctamente. 
[2013-11-25 08:44:57,950][WARNING] [sistema] [/sad/user/state/inactivar/1.1b2c847722aabd011b110f227b681a3c/][admin][127.0.0.1] Lo sentimos, pero este usuario no se puede inactivar. 
[2013-11-25 08:44:59,848][WARNING] [sistema] [/sad/user/state/inactivar/1.1b2c847722aabd011b110f227b681a3c/][admin][127.0.0.1] Lo sentimos, pero este usuario no se puede inactivar. 
[2013-11-25 08:45:01,198][INFO] [sistema] [/sad/user/state/inactivar/2.fe43515bebfb06de7f50ec821b238fc8/][admin][127.0.0.1] Usuario asullom ha sido inactivado correctamente. 
[2013-11-25 08:45:02,306][INFO] [sistema] [/sad/user/state/reactivar/2.b0adf94d90449a8f993d890ee9633c9e/][admin][127.0.0.1] Usuario asullom ha sido reactivado correctamente. 
[2013-11-25 08:45:36,405][ERROR] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee no se encuentra en la base de datos. No Employee matches the given query. 
[2013-11-25 08:45:39,513][ERROR] [sistema] [/rrhh/employee/edit/][admin][127.0.0.1] Employee no se encuentra en la base de datos. No Employee matches the given query. 
[2013-11-25 08:46:14,355][ERROR] [sistema] [/account/load_access/2/1/][admin][127.0.0.1] 'last_headquart_id' is an invalid keyword argument for this function 
[2013-11-25 08:46:17,970][ERROR] [sistema] [/account/load_access/2/1/][admin][127.0.0.1] 'last_headquart_id' is an invalid keyword argument for this function 
[2013-11-25 08:53:55,697][ERROR] [sistema] [/account/profile/][admin][127.0.0.1] 'User' object has no attribute 'person' 
[2013-11-25 09:22:30,602][ERROR] [sistema] [/account/profile/][admin][127.0.0.1] 'User' object has no attribute 'person' 
[2013-11-25 09:22:33,845][ERROR] [sistema] [/account/profile/][admin][127.0.0.1] 'User' object has no attribute 'person' 
[2013-11-25 09:23:04,752][INFO] [sistema] [/account/profile/][admin][127.0.0.1] Usuario admin ha sido actualizado correctamente. 
[2013-11-25 09:23:21,789][INFO] [sistema] [/account/profile/][admin][127.0.0.1] Usuario admin ha sido actualizado correctamente. 
[2013-11-25 09:24:31,845][ERROR] [sistema] [/account/load_access/2/1/][admin][127.0.0.1] 'last_headquart_id' is an invalid keyword argument for this function 
[2013-11-25 09:57:01,690][WARNING] [sistema] [/rrhh/employee/add/][ufinal][127.0.0.1] Tu no posees permisos para acceder a /rrhh/employee/add/ 
[2013-11-25 09:57:15,262][WARNING] [sistema] [/rrhh/employee/add/][ufinal][127.0.0.1] Tu no posees permisos para acceder a /rrhh/employee/add/ 
[2013-11-25 09:57:52,881][WARNING] [sistema] [/rrhh/employee/add/][ufinal][127.0.0.1] Tu no posees permisos para acceder a /rrhh/employee/add/ 
[2013-11-25 10:00:10,450][WARNING] [sistema] [/rrhh/employee/add/][ufinal][127.0.0.1] Tu no posees permisos para acceder a /rrhh/employee/add/ 
[2013-11-25 10:00:14,286][WARNING] [sistema] [/rrhh/employee/add/][ufinal][127.0.0.1] Tu no posees permisos para acceder a /rrhh/employee/add/ 
[2013-11-25 10:00:19,062][WARNING] [sistema] [/rrhh/employee/add/][ufinal][127.0.0.1] Tu no posees permisos para acceder a /rrhh/employee/add/ 
